Rank,Area,Zone,Price 2025 (₹/sqft),Projected 2050 (₹/sqft),ROI 2050 (%),CAGR (%),Investment,Liveability,Buy Score,Recommendation
1,Kelambakkam,IT Corridor (OMR),5000,44000,780.0,12.8,82,63.6,77.1,Strong Buy
2,Navalur,IT Corridor (OMR),5500,45000,718.2,11.8,82,62.0,74.9,Strong Buy
3,Kovalam,ECR Belt,5200,40000,669.2,11.2,67,69.0,67.4,Strong Buy
4,Siruseri,IT Corridor (OMR),6200,42000,577.4,10.9,76,56.6,66.6,Strong Buy
5,Poonamallee,West,4500,23000,411.1,8.4,63,61.5,56.1,Buy
6,Neelankarai,ECR Belt,9500,40000,321.1,7.8,66,63.3,55.3,Buy
7,Avadi,West,4800,22000,358.3,8.1,59,54.5,51.1,Buy
8,Thoraipakkam,IT Corridor (OMR),9200,48000,421.7,9.2,58,42.0,50.1,Buy
9,Sholinganallur,South,10000,52000,420.0,9.6,52,43.1,47.2,Hold
10,Ambattur,West,7200,30000,316.7,7.5,55,49.2,46.8,Hold
11,Medavakkam,South,6500,27000,315.4,7.4,56,45.1,46.5,Hold
12,Madhavaram,North,5800,24000,313.8,7.6,49,54.9,44.9,Hold
13,Perungudi,IT Corridor (OMR),9800,48000,389.8,8.8,46,43.5,43.4,Hold
14,Palavakkam,ECR Belt,10500,38000,261.9,6.7,44,63.9,42.6,Hold
15,Tambaram,South,6000,25000,316.7,7.2,45,51.2,42.2,Hold
16,Porur,West,8000,34000,325.0,7.7,46,44.3,41.6,Hold
17,Mogappair,West,8800,32000,263.6,6.9,45,55.0,41.4,Hold
18,Thiruvanmiyur,ECR Belt,13000,42000,223.1,6.4,43,64.0,41.0,Hold
19,Ennore,North,3200,14000,337.5,7.9,49,26.1,39.8,Hold
20,Manali,North,3500,13000,271.4,6.9,47,30.1,37.7,Hold
21,Besant Nagar,South,17000,50000,194.1,6.6,25,72.9,32.9,Avoid
22,Tiruvottiyur,North,4200,16000,281.0,6.7,32,30.6,30.6,Avoid
23,Adyar,South,15000,48000,220.0,6.5,25,55.8,30.3,Avoid
24,Velachery,South,10500,36000,242.9,6.7,28,42.3,29.7,Avoid
25,Mylapore,Central,17000,52000,205.9,6.6,19,65.7,28.8,Avoid
26,Tondiarpet,North,6200,22000,254.8,6.8,23,41.2,27.4,Avoid
27,Anna Nagar,Central,15500,48000,209.7,6.2,15,66.1,27.0,Avoid
28,T. Nagar,Central,18500,55000,197.3,6.3,19,56.5,26.7,Avoid
29,Egmore,Central,17500,52000,197.1,6.3,19,56.5,26.7,Avoid
30,Nungambakkam,Central,22000,62000,181.8,6.2,19,58.9,26.7,Avoid
