Rank,City,State,Tier,Liveability,Sustainability,Investment,Overall Score,Current Price (₹/sqft),Price 2050 (₹/sqft),Pop 2025,Pop 2050,Climate Risk
1,Mysuru,Karnataka,3,83.1,72.6,53.5,70.5,"3,500","25,000","1,350,000","2,100,000",17.8
2,Coimbatore,Tamil Nadu,2,77.3,68.0,64.8,70.3,"4,800","28,000","2,600,000","4,100,000",20.5
3,Coorg,Karnataka,3,76.7,78.2,47.8,68.6,"3,200","28,000","630,000","750,000",19.5
4,Munnar,Kerala,3,71.3,77.8,52.5,67.9,"3,800","32,000","38,000","50,000",27.5
5,Wayanad,Kerala,3,71.8,77.8,51.5,67.8,"2,800","26,000","920,000","1,100,000",28.0
6,Ooty,Tamil Nadu,3,78.2,77.1,42.8,67.2,"4,800","32,000","100,000","125,000",20.5
7,Kodaikanal,Tamil Nadu,3,76.9,78.2,42.5,67.0,"4,200","30,000","45,000","58,000",18.5
8,Thiruvananthapuram,Kerala,2,77.3,77.0,42.8,66.8,"5,800","23,000","1,850,000","2,250,000",32.0
9,Mussoorie,Uttarakhand,3,77.4,73.2,41.8,65.2,"7,500","44,000","38,000","50,000",23.5
10,Nainital,Uttarakhand,3,77.1,73.2,41.8,65.1,"7,000","42,000","52,000","70,000",25.0
11,Kochi,Kerala,2,66.5,75.0,48.0,63.9,"6,500","24,000","2,400,000","3,400,000",40.0
12,Manali,Himachal Pradesh,3,70.1,72.1,46.8,63.8,"6,000","45,000","15,000","30,000",35.0
13,Shimla,Himachal Pradesh,3,79.5,70.0,37.0,63.4,"8,000","45,000","210,000","275,000",25.0
14,Panaji,Goa,3,72.7,76.0,37.5,63.3,"9,500","52,000","145,000","185,000",38.0
15,Dehradun,Uttarakhand,3,72.8,70.4,43.0,63.0,"5,000","28,000","820,000","1,300,000",31.0
16,Chandigarh,Chandigarh,2,71.7,73.3,38.8,62.4,"10,000","35,000","1,350,000","1,750,000",33.5
17,Indore,Madhya Pradesh,2,69.5,61.6,55.2,62.4,"4,200","28,000","3,200,000","5,100,000",29.0
18,Pune,Maharashtra,1,71.4,59.2,54.2,62.0,"8,500","35,000","8,500,000","13,500,000",29.0
19,Darjeeling,West Bengal,3,72.3,72.8,31.5,60.2,"5,500","35,000","145,000","165,000",30.5
20,Bengaluru,Karnataka,1,67.7,53.8,59.0,60.2,"11,000","52,000","14,200,000","23,500,000",28.0
21,Visakhapatnam,Andhra Pradesh,2,58.9,64.0,53.8,59.2,"5,000","30,000","2,500,000","4,000,000",49.5
22,Bhubaneswar,Odisha,3,59.4,67.1,49.5,59.1,"3,800","30,000","1,300,000","2,400,000",52.0
23,Pondicherry,Puducherry,3,63.9,63.9,37.2,55.9,"5,500","30,000","350,000","480,000",48.0
24,Vadodara,Gujarat,3,61.7,57.4,43.8,54.8,"3,800","27,000","2,500,000","3,800,000",44.5
25,Surat,Gujarat,2,52.8,52.2,59.2,54.5,"4,500","35,000","6,700,000","11,000,000",55.0
26,Hyderabad,Telangana,1,54.3,47.4,54.5,51.9,"9,000","50,000","11,500,000","20,500,000",48.0
27,Lucknow,Uttar Pradesh,2,51.0,52.8,43.8,49.5,"4,500","27,000","4,200,000","6,500,000",54.5
28,Ahmedabad,Gujarat,1,49.9,47.5,38.5,45.6,"5,800","26,000","8,800,000","12,500,000",59.5
29,Mumbai,Maharashtra,1,43.7,54.6,35.8,45.1,"25,000","80,000","22,100,000","26,800,000",59.5
30,Jaipur,Rajasthan,2,52.0,37.6,38.0,42.8,"5,000","24,000","4,600,000","7,000,000",54.0
31,Delhi,Delhi,1,46.4,41.3,36.0,41.5,"20,000","68,000","22,000,000","30,000,000",61.5
32,Chennai,Tamil Nadu,1,40.5,42.4,38.2,40.5,"9,500","40,000","12,000,000","17,500,000",65.5
33,Kolkata,West Bengal,1,36.4,50.4,33.2,40.3,"6,500","22,000","15,500,000","17,200,000",67.5
